Time,Open,High,Low,Close,Volume,Symbol
2025-05-20 13:05:00,15.578,15.578,15.502,15.52,13340.0,LINKUSDT_UMCBL
2025-05-20 13:10:00,15.52,15.551,15.515,15.52,1557.0,LINKUSDT_UMCBL
2025-05-20 13:15:00,15.52,15.565,15.514,15.529,1769.0,LINKUSDT_UMCBL
2025-05-20 13:20:00,15.529,15.592,15.529,15.556,9288.0,LINKUSDT_UMCBL
2025-05-20 13:25:00,15.556,15.582,15.533,15.533,1512.0,LINKUSDT_UMCBL
2025-05-20 13:30:00,15.533,15.585,15.511,15.568,5249.0,LINKUSDT_UMCBL
2025-05-20 13:35:00,15.568,15.568,15.436,15.56,37128.0,LINKUSDT_UMCBL
2025-05-20 13:40:00,15.56,15.56,15.484,15.486,3031.0,LINKUSDT_UMCBL
2025-05-20 13:45:00,15.486,15.509,15.44,15.454,2365.0,LINKUSDT_UMCBL
2025-05-20 13:50:00,15.454,15.542,15.42,15.542,16735.0,LINKUSDT_UMCBL
2025-05-20 13:55:00,15.542,15.554,15.484,15.49,11256.0,LINKUSDT_UMCBL
2025-05-20 14:00:00,15.49,15.507,15.445,15.494,55918.0,LINKUSDT_UMCBL
2025-05-20 14:05:00,15.494,15.552,15.477,15.498,14898.0,LINKUSDT_UMCBL
2025-05-20 14:10:00,15.498,15.523,15.454,15.454,19202.0,LINKUSDT_UMCBL
2025-05-20 14:15:00,15.454,15.54,15.454,15.537,5486.0,LINKUSDT_UMCBL
2025-05-20 14:20:00,15.537,15.588,15.536,15.561,15042.0,LINKUSDT_UMCBL
2025-05-20 14:25:00,15.561,15.561,15.465,15.465,7122.0,LINKUSDT_UMCBL
2025-05-20 14:30:00,15.465,15.503,15.449,15.464,14377.0,LINKUSDT_UMCBL
2025-05-20 14:35:00,15.464,15.482,15.428,15.482,1013.0,LINKUSDT_UMCBL
2025-05-20 14:40:00,15.482,15.519,15.474,15.517,1832.0,LINKUSDT_UMCBL
2025-05-20 14:45:00,15.517,15.553,15.511,15.527,20179.0,LINKUSDT_UMCBL
2025-05-20 14:50:00,15.527,15.527,15.449,15.472,6606.0,LINKUSDT_UMCBL
2025-05-20 14:55:00,15.472,15.48,15.443,15.443,403.0,LINKUSDT_UMCBL
2025-05-20 15:00:00,15.443,15.469,15.437,15.449,1766.0,LINKUSDT_UMCBL
2025-05-20 15:05:00,15.449,15.482,15.448,15.476,261.0,LINKUSDT_UMCBL
2025-05-20 15:10:00,15.476,15.509,15.457,15.505,709.0,LINKUSDT_UMCBL
2025-05-20 15:15:00,15.505,15.522,15.485,15.488,3775.0,LINKUSDT_UMCBL
2025-05-20 15:20:00,15.488,15.494,15.425,15.452,1351.0,LINKUSDT_UMCBL
2025-05-20 15:25:00,15.452,15.557,15.45,15.556,6678.0,LINKUSDT_UMCBL
2025-05-20 15:30:00,15.556,15.583,15.528,15.572,3380.0,LINKUSDT_UMCBL
2025-05-20 15:35:00,15.572,15.602,15.552,15.581,18393.0,LINKUSDT_UMCBL
2025-05-20 15:40:00,15.581,15.581,15.535,15.535,1990.0,LINKUSDT_UMCBL
2025-05-20 15:45:00,15.535,15.573,15.535,15.573,1575.0,LINKUSDT_UMCBL
2025-05-20 15:50:00,15.573,15.59,15.52,15.53,3663.0,LINKUSDT_UMCBL
2025-05-20 15:55:00,15.53,15.582,15.53,15.549,1615.0,LINKUSDT_UMCBL
2025-05-20 16:00:00,15.549,15.589,15.525,15.589,10735.0,LINKUSDT_UMCBL
2025-05-20 16:05:00,15.589,15.594,15.499,15.509,5709.0,LINKUSDT_UMCBL
2025-05-20 16:10:00,15.509,15.509,15.451,15.46,16069.0,LINKUSDT_UMCBL
2025-05-20 16:15:00,15.46,15.498,15.444,15.483,6234.0,LINKUSDT_UMCBL
2025-05-20 16:20:00,15.483,15.538,15.449,15.449,1906.0,LINKUSDT_UMCBL
2025-05-20 16:25:00,15.449,15.46,15.426,15.436,5955.0,LINKUSDT_UMCBL
2025-05-20 16:30:00,15.436,15.484,15.436,15.475,885.0,LINKUSDT_UMCBL
2025-05-20 16:35:00,15.475,15.509,15.464,15.506,1503.0,LINKUSDT_UMCBL
2025-05-20 16:40:00,15.506,15.527,15.478,15.487,1236.0,LINKUSDT_UMCBL
2025-05-20 16:45:00,15.487,15.525,15.487,15.501,1083.0,LINKUSDT_UMCBL
2025-05-20 16:50:00,15.501,15.501,15.451,15.451,647.0,LINKUSDT_UMCBL
2025-05-20 16:55:00,15.451,15.478,15.43,15.43,19699.0,LINKUSDT_UMCBL
2025-05-20 17:00:00,15.43,15.487,15.405,15.487,21105.0,LINKUSDT_UMCBL
2025-05-20 17:05:00,15.487,15.537,15.485,15.506,1073.0,LINKUSDT_UMCBL
2025-05-20 17:10:00,15.506,15.591,15.506,15.57,20961.0,LINKUSDT_UMCBL
2025-05-20 17:15:00,15.57,15.577,15.511,15.516,5596.0,LINKUSDT_UMCBL
2025-05-20 17:20:00,15.516,15.554,15.514,15.537,3426.0,LINKUSDT_UMCBL
2025-05-20 17:25:00,15.537,15.58,15.526,15.568,3866.0,LINKUSDT_UMCBL
