2025-05-21 18:52:52,105 - INFO - Starting data fetch for SUIUSDT_UMCBL (5m)
2025-05-21 18:52:57,169 - INFO - Data saved to market_data.csv
2025-05-21 19:12:50,162 - INFO - Starting data fetch for SUIUSDT_UMCBL (5m)
2025-05-21 19:12:54,800 - INFO - Data saved to market_data.csv
2025-05-21 19:30:48,224 - INFO - Starting data fetch for SUIUSDT_UMCBL (5m)
2025-05-21 19:30:52,588 - INFO - Data saved to market_data.csv
2025-05-21 19:31:11,111 - INFO - Starting data fetch for SUIUSDT_UMCBL (5m)
2025-05-21 19:31:14,614 - INFO - Data saved to market_data.csv
2025-05-21 19:32:43,058 - INFO - Starting data fetch for SUIUSDT_UMCBL (5m)
2025-05-21 19:32:46,267 - INFO - Data saved to market_data.csv
2025-05-21 19:33:49,777 - INFO - Starting data fetch for SUIUSDT_UMCBL (5m)
2025-05-21 19:33:55,299 - INFO - Data saved to market_data.csv
2025-05-21 19:35:40,222 - INFO - Starting data fetch for SUIUSDT_UMCBL (5m)
2025-05-21 19:35:44,837 - INFO - Data saved to market_data.csv
2025-05-22 21:10:01,435 - INFO - Starting data fetch for LINKUSDT_UMCBL (5m)
2025-05-22 21:10:05,899 - INFO - Data saved to market_data.csv
2025-05-22 22:16:15,439 - INFO - Starting data fetch for LINKUSDT_UMCBL (5m)
2025-05-22 22:16:18,901 - INFO - Data saved to market_data.csv
2025-05-22 23:27:36,135 - INFO - Starting LHL Pattern Trading Bot...
2025-05-22 23:27:36,137 - INFO - Configuration loaded successfully for symbol LINKUSDT_UMCBL
2025-05-23 00:35:51,337 - INFO - Current Price: 16.863, Position: No, S1: 16.634, R1: 16.798
2025-05-23 00:36:21,638 - INFO - Current Price: 16.886, Position: No, S1: 16.634, R1: 16.798
2025-05-23 00:36:43,079 - INFO - Starting data fetch for LINKUSDT_UMCBL (5m)
2025-05-23 00:36:43,623 - INFO - Bot shutdown requested by user...
2025-05-23 00:36:43,624 - INFO - Bot shutting down...
2025-05-23 00:36:46,134 - INFO - Data saved to market_data.csv
2025-05-23 00:36:58,951 - INFO - Starting LHL Pattern Trading Bot...
2025-05-23 00:36:58,953 - INFO - Configuration loaded successfully for symbol LINKUSDT_UMCBL
2025-05-23 00:37:02,523 - INFO - Bot initialized successfully, entering main loop...
2025-05-23 00:37:02,841 - INFO - Current Price: 16.871, Position: No, S1: 16.707, R1: 17.174
2025-05-23 00:37:33,215 - INFO - Current Price: 16.87, Position: No, S1: 16.707, R1: 17.174
2025-05-23 00:38:03,479 - INFO - Current Price: 16.877, Position: No, S1: 16.707, R1: 17.174
2025-05-23 00:38:33,838 - INFO - Current Price: 16.887, Position: No, S1: 16.707, R1: 17.174
2025-05-23 00:39:04,254 - INFO - Current Price: 16.857, Position: No, S1: 16.707, R1: 17.174
2025-05-23 00:39:34,561 - INFO - Current Price: 16.857, Position: No, S1: 16.707, R1: 17.174
2025-05-23 00:40:04,855 - INFO - Current Price: 16.869, Position: No, S1: 16.707, R1: 17.174
2025-05-23 00:40:35,141 - INFO - Current Price: 16.87, Position: No, S1: 16.707, R1: 17.174
2025-05-23 00:41:05,625 - INFO - Current Price: 16.859, Position: No, S1: 16.707, R1: 17.174
2025-05-23 00:41:35,913 - INFO - Current Price: 16.862, Position: No, S1: 16.707, R1: 17.174
2025-05-23 00:42:06,289 - INFO - Current Price: 16.874, Position: No, S1: 16.707, R1: 17.174
2025-05-23 00:42:36,558 - INFO - Current Price: 16.866, Position: No, S1: 16.707, R1: 17.174
2025-05-23 00:43:05,782 - INFO - Bot shutdown requested by user...
2025-05-23 00:43:05,782 - INFO - Bot shutting down...
2025-05-23 00:43:13,461 - INFO - Starting data fetch for LINKUSDT_UMCBL (5m)
2025-05-23 00:43:16,923 - INFO - Data saved to market_data.csv
2025-05-23 00:43:35,237 - INFO - Starting LHL Pattern Trading Bot...
2025-05-23 00:43:35,238 - INFO - Configuration loaded successfully for symbol LINKUSDT_UMCBL
2025-05-23 00:43:38,323 - INFO - Bot initialized successfully, entering main loop...
2025-05-23 00:43:38,705 - INFO - Current Price: 16.871, Position: No, S1: 16.8125, R1: 16.999
2025-05-23 00:44:09,001 - INFO - Current Price: 16.881, Position: No, S1: 16.8125, R1: 16.999
2025-05-23 00:44:39,311 - INFO - Current Price: 16.881, Position: No, S1: 16.8125, R1: 16.999
2025-05-23 00:45:09,623 - INFO - Current Price: 16.886, Position: No, S1: 16.8125, R1: 16.999
2025-05-23 00:45:39,933 - INFO - Current Price: 16.896, Position: No, S1: 16.8125, R1: 16.999
2025-05-23 00:46:10,250 - INFO - Current Price: 16.89, Position: No, S1: 16.8125, R1: 16.999
2025-05-23 00:46:40,659 - INFO - Current Price: 16.887, Position: No, S1: 16.8125, R1: 16.999
2025-05-23 00:47:10,972 - INFO - Current Price: 16.894, Position: No, S1: 16.8125, R1: 16.999
2025-05-23 00:47:41,250 - INFO - Current Price: 16.906, Position: No, S1: 16.8125, R1: 16.999
2025-05-23 00:48:11,694 - INFO - Current Price: 16.893, Position: No, S1: 16.8125, R1: 16.999
2025-05-23 00:48:42,006 - INFO - Current Price: 16.884, Position: No, S1: 16.8125, R1: 16.999
2025-05-23 00:49:12,283 - INFO - Current Price: 16.884, Position: No, S1: 16.8125, R1: 16.999
2025-05-23 00:49:42,575 - INFO - Current Price: 16.894, Position: No, S1: 16.8125, R1: 16.999
2025-05-23 00:50:13,246 - INFO - Current Price: 16.91, Position: No, S1: 16.8125, R1: 16.999
2025-05-23 00:50:43,557 - INFO - Current Price: 16.914, Position: No, S1: 16.8125, R1: 16.999
2025-05-23 00:51:13,870 - INFO - Current Price: 16.914, Position: No, S1: 16.8125, R1: 16.999
2025-05-23 00:51:44,182 - INFO - Current Price: 16.929, Position: No, S1: 16.8125, R1: 16.999
2025-05-23 00:52:14,593 - INFO - Current Price: 16.926, Position: No, S1: 16.8125, R1: 16.999
2025-05-23 00:52:44,904 - INFO - Current Price: 16.929, Position: No, S1: 16.8125, R1: 16.999
2025-05-23 00:53:15,216 - INFO - Current Price: 16.911, Position: No, S1: 16.8125, R1: 16.999
2025-05-23 00:53:45,531 - INFO - Current Price: 16.914, Position: No, S1: 16.8125, R1: 16.999
2025-05-23 00:54:15,858 - INFO - Current Price: 16.919, Position: No, S1: 16.8125, R1: 16.999
2025-05-23 00:54:46,282 - INFO - Current Price: 16.913, Position: No, S1: 16.8125, R1: 16.999
